accuracy: 0.012099341965612397	precision: 0.0012409726803655023	recall: 0.012099341965612397	f1: 0.0018089699230123912	average_val_loss: 6.358063407846399	average_train_loss: 5.6176033416204705
accuracy: 0.31437062194863086	precision: 0.3968548793218848	recall: 0.31437062194863086	f1: 0.2958007855353087	average_val_loss: 4.115156663430704	average_train_loss: 4.766249680731346
accuracy: 0.35533856930587987	precision: 0.4016996882810582	recall: 0.35533856930587987	f1: 0.32931432637300495	average_val_loss: 3.9508882986532674	average_train_loss: 4.673418256578531
accuracy: 0.36573975801316067	precision: 0.39070090834174753	recall: 0.36573975801316067	f1: 0.33628284231619576	average_val_loss: 3.8689154902020015	average_train_loss: 4.66776836519779
accuracy: 0.3684992570579495	precision: 0.423401326428747	recall: 0.3684992570579495	f1: 0.3463185049986328	average_val_loss: 3.8590211707192497	average_train_loss: 4.632627584813964
accuracy: 0.3602207599235831	precision: 0.4207815451267169	recall: 0.3602207599235831	f1: 0.3403709577775385	average_val_loss: 3.8992397301905863	average_train_loss: 4.584078165473145
accuracy: 0.3880280195287625	precision: 0.46978413212905434	recall: 0.3880280195287625	f1: 0.37594408803259743	average_val_loss: 3.817602798745439	average_train_loss: 4.52977691347592
accuracy: 0.39906601570791767	precision: 0.4445857590297892	recall: 0.39906601570791767	f1: 0.3822029504651907	average_val_loss: 3.741937163713816	average_train_loss: 4.518039327700697
accuracy: 0.39906601570791767	precision: 0.4581293901509982	recall: 0.39906601570791767	f1: 0.385299071736124	average_val_loss: 3.739670202538774	average_train_loss: 4.465972238195402
accuracy: 0.4096794735724899	precision: 0.46399337258537077	recall: 0.4096794735724899	f1: 0.3933338829633941	average_val_loss: 3.670324547870739	average_train_loss: 4.431225001281376
accuracy: 0.3757164084058586	precision: 0.42606240927237843	recall: 0.3757164084058586	f1: 0.3623997157361817	average_val_loss: 3.8208639428422257	average_train_loss: 4.4080906982591666
accuracy: 0.43260454255996605	precision: 0.47742446062023713	recall: 0.43260454255996605	f1: 0.4133970380233783	average_val_loss: 3.608518697120048	average_train_loss: 4.398605326870428
accuracy: 0.43111865845892594	precision: 0.47953885855916006	recall: 0.43111865845892594	f1: 0.4185539022709645	average_val_loss: 3.594494323472719	average_train_loss: 4.350903977272418
accuracy: 0.4232646996391424	precision: 0.5070830513491346	recall: 0.4232646996391424	f1: 0.41677956094556157	average_val_loss: 3.648738416465553	average_train_loss: 4.299419819070606
accuracy: 0.4398216939078752	precision: 0.48529123602609187	recall: 0.4398216939078752	f1: 0.42346893565685423	average_val_loss: 3.545301933546324	average_train_loss: 4.283781384855774
accuracy: 0.4557418807047336	precision: 0.49547650527916287	recall: 0.4557418807047336	f1: 0.43986407415278894	average_val_loss: 3.502427207457053	average_train_loss: 4.256801061177466
accuracy: 0.4544682657609849	precision: 0.49932034059097863	recall: 0.4544682657609849	f1: 0.4459982985508297	average_val_loss: 3.48851643381892	average_train_loss: 4.185401112813978
accuracy: 0.4510719592443218	precision: 0.515011265264102	recall: 0.4510719592443218	f1: 0.4457950690790508	average_val_loss: 3.495045719919978	average_train_loss: 4.215501425881768
accuracy: 0.46656760772659733	precision: 0.50748870873398	recall: 0.46656760772659733	f1: 0.45198289966801675	average_val_loss: 3.4558757479126387	average_train_loss: 4.15015105394652
accuracy: 0.4860963701974103	precision: 0.5228068584259525	recall: 0.4860963701974103	f1: 0.4719863669822429	average_val_loss: 3.4071512705570943	average_train_loss: 4.1079865690508655
accuracy: 0.47611971980471235	precision: 0.5301742971282822	recall: 0.47611971980471235	f1: 0.46682205069884425	average_val_loss: 3.3955868869214445	average_train_loss: 4.099906675893404
accuracy: 0.4933135215453195	precision: 0.5308191382686891	recall: 0.4933135215453195	f1: 0.4798646199904847	average_val_loss: 3.345745534510226	average_train_loss: 4.001716216169409
accuracy: 0.5054128635109318	precision: 0.5414124926363284	recall: 0.5054128635109318	f1: 0.4991338068723328	average_val_loss: 3.3044466102445447	average_train_loss: 4.025475195678123
accuracy: 0.4952239439609425	precision: 0.5304488932930134	recall: 0.4952239439609425	f1: 0.48396260527076707	average_val_loss: 3.351451976879223	average_train_loss: 4.013316125473565
accuracy: 0.5018042878369773	precision: 0.5354871112314391	recall: 0.5018042878369773	f1: 0.4927428217637787	average_val_loss: 3.31534734932152	average_train_loss: 4.014557164925142
accuracy: 0.5115686690723837	precision: 0.5535661157531869	recall: 0.5115686690723837	f1: 0.5039552172830809	average_val_loss: 3.285070477305232	average_train_loss: 3.988046263374985
accuracy: 0.5228189344088304	precision: 0.554054762606637	recall: 0.5228189344088304	f1: 0.5145986982226485	average_val_loss: 3.242008570078257	average_train_loss: 3.9902342993003326
accuracy: 0.5177244746338358	precision: 0.5516833295583233	recall: 0.5177244746338358	f1: 0.5083221033710347	average_val_loss: 3.274646385295971	average_train_loss: 3.929667667394576
accuracy: 0.5098705158140522	precision: 0.5489570502151184	recall: 0.5098705158140522	f1: 0.5026682114800537	average_val_loss: 3.2774859505730705	average_train_loss: 3.871644244349675
accuracy: 0.5162385905327956	precision: 0.5559533406887849	recall: 0.5162385905327956	f1: 0.5123986563312369	average_val_loss: 3.2586763903901383	average_train_loss: 3.779411740402086
accuracy: 0.5315219698577797	precision: 0.5745439119962579	recall: 0.5315219698577797	f1: 0.5295952843247842	average_val_loss: 3.2136106748838684	average_train_loss: 3.758562223140139
accuracy: 0.5132668223307153	precision: 0.5564482893161963	recall: 0.5132668223307153	f1: 0.505508136258321	average_val_loss: 3.295856817348583	average_train_loss: 3.8100497001002736
accuracy: 0.5156017830609212	precision: 0.558622313518204	recall: 0.5156017830609212	f1: 0.5138130434366496	average_val_loss: 3.2461290133965983	average_train_loss: 3.7467956790584487
accuracy: 0.5400127361494375	precision: 0.5656450746354601	recall: 0.5400127361494375	f1: 0.5329516241512785	average_val_loss: 3.1995007669603504	average_train_loss: 3.70435966016277
accuracy: 0.5332201231161112	precision: 0.5634701906122819	recall: 0.5332201231161112	f1: 0.527545166020743	average_val_loss: 3.2351888482635087	average_train_loss: 3.6516755072936107
accuracy: 0.5442581192952664	precision: 0.5680904486801036	recall: 0.5442581192952664	f1: 0.5381507785969789	average_val_loss: 3.1751097392391516	average_train_loss: 3.6615995540109516
accuracy: 0.5374655062619401	precision: 0.5721881889083156	recall: 0.5374655062619401	f1: 0.5328755960559057	average_val_loss: 3.233037716633565	average_train_loss: 3.609478870202243
accuracy: 0.5557206537890045	precision: 0.5865000818356171	recall: 0.5557206537890045	f1: 0.5533566375830644	average_val_loss: 3.1466018847517065	average_train_loss: 3.521277692975913	
accuracy: 0.5538102313733815	precision: 0.57492064081152	recall: 0.5538102313733815	f1: 0.5482012070104878	average_val_loss: 3.1544079232860254	average_train_loss: 3.4911040937865168	
accuracy: 0.551687539800467	precision: 0.5738662638305067	recall: 0.551687539800467	f1: 0.546178311207771	average_val_loss: 3.168416459818144	average_train_loss: 3.430871788755015	
accuracy: 0.5468053491827637	precision: 0.569854612981294	recall: 0.5468053491827637	f1: 0.543173907842918	average_val_loss: 3.1721338275316597	average_train_loss: 3.4849364704477326	
accuracy: 0.5576310762046275	precision: 0.5774014649000199	recall: 0.5576310762046275	f1: 0.5517945572118539	average_val_loss: 3.13831329828984	average_train_loss: 3.443388116112095	
accuracy: 0.5540225005306729	precision: 0.5783215837722397	recall: 0.5540225005306729	f1: 0.5489072336336175	average_val_loss: 3.14860122429358	average_train_loss: 3.453444898659115	
accuracy: 0.551687539800467	precision: 0.57689728606915	recall: 0.551687539800467	f1: 0.5476056719126314	average_val_loss: 3.187367543980882	average_train_loss: 3.383795101494039	
accuracy: 0.5563574612608788	precision: 0.5703212568872897	recall: 0.5563574612608788	f1: 0.5487752365899237	average_val_loss: 3.137078615459236	average_train_loss: 3.4084142577400547	
accuracy: 0.5616641901931649	precision: 0.585240529230484	recall: 0.5616641901931649	f1: 0.5592756656142035	average_val_loss: 3.1313756897642806	average_train_loss: 3.305512959950048	
accuracy: 0.5544470388452558	precision: 0.5768024747277651	recall: 0.5544470388452558	f1: 0.550015545630571	average_val_loss: 3.1694711027918636	average_train_loss: 3.3755960414954393	
accuracy: 0.5646359583952452	precision: 0.5830840021303539	recall: 0.5646359583952452	f1: 0.5591270449736941	average_val_loss: 3.130742189046499	average_train_loss: 3.4053354712551354	
accuracy: 0.5678199957546168	precision: 0.585871842630568	recall: 0.5678199957546168	f1: 0.5633286802195426	average_val_loss: 3.1226698240718327	average_train_loss: 3.317785505371207	
accuracy: 0.5741880704733602	precision: 0.5914188720161485	recall: 0.5741880704733602	f1: 0.5708378281715047	average_val_loss: 3.104312514936602	average_train_loss: 3.257589876828632	
accuracy: 0.5601783060921248	precision: 0.5793169722160608	recall: 0.5601783060921248	f1: 0.5566480283873877	average_val_loss: 3.1622596656953967	average_train_loss: 3.3247097069148848	
accuracy: 0.565060496709828	precision: 0.5828205602917081	recall: 0.565060496709828	f1: 0.5610029672184471	average_val_loss: 3.1275903743666573	average_train_loss: 3.2779544545917907	
accuracy: 0.5637868817660794	precision: 0.5768359967572015	recall: 0.5637868817660794	f1: 0.5578510808857791	average_val_loss: 3.1480324042809977	average_train_loss: 3.1990685844987365	
accuracy: 0.5608151135639992	precision: 0.5772467748407696	recall: 0.5608151135639992	f1: 0.5551255424589515	average_val_loss: 3.1545765609354586	average_train_loss: 3.2577312427741485	
accuracy: 0.5714285714285714	precision: 0.584460034135289	recall: 0.5714285714285714	f1: 0.5650700276108667	average_val_loss: 3.125585232232068	average_train_loss: 3.174024065099767	
accuracy: 0.5718531097431543	precision: 0.585456064060289	recall: 0.5718531097431543	f1: 0.5668169265414077	average_val_loss: 3.1157996831713497	average_train_loss: 3.25603384080202	
accuracy: 0.575037147102526	precision: 0.5874442766841554	recall: 0.575037147102526	f1: 0.5700457365049967	average_val_loss: 3.1091786413579374	average_train_loss: 3.200736563708025	
accuracy: 0.5748248779452345	precision: 0.5865193093711881	recall: 0.5748248779452345	f1: 0.5697512890175529	average_val_loss: 3.0989435975616044	average_train_loss: 3.1789327431857055	
accuracy: 0.57121630227128	precision: 0.5890710036876385	recall: 0.57121630227128	f1: 0.5676535575646188	average_val_loss: 3.1182084067447766	average_train_loss: 3.187715426396899	
accuracy: 0.5763107620462746	precision: 0.5887627020130842	recall: 0.5763107620462746	f1: 0.5704147244359056	average_val_loss: 3.141151547431946	average_train_loss: 3.205020521090363	
accuracy: 0.5758862237316917	precision: 0.5851704786573857	recall: 0.5758862237316917	f1: 0.568900099937003	average_val_loss: 3.1194805792860083	average_train_loss: 3.13764410202864	
accuracy: 0.575037147102526	precision: 0.5868103543467682	recall: 0.575037147102526	f1: 0.5678773761895517	average_val_loss: 3.1146931503270125	average_train_loss: 3.1278144471369442	
accuracy: 0.581192952663978	precision: 0.592773410291203	recall: 0.581192952663978	f1: 0.5748523968568382	average_val_loss: 3.0887284343307084	average_train_loss: 3.1306510802900047	
accuracy: 0.5773721078327319	precision: 0.5901771899153634	recall: 0.5773721078327319	f1: 0.5715232343256328	average_val_loss: 3.107788865630691	average_train_loss: 3.1696334104509667	
accuracy: 0.5777966461473147	precision: 0.589804262955279	recall: 0.5777966461473147	f1: 0.5722320839947143	average_val_loss: 3.1069650408383964	average_train_loss: 3.1363630018885127	
accuracy: 0.5714285714285714	precision: 0.5848648677287165	recall: 0.5714285714285714	f1: 0.5661659195211057	average_val_loss: 3.128953754901886	average_train_loss: 3.097788056563199	
accuracy: 0.5754616854171088	precision: 0.5890014164341204	recall: 0.5754616854171088	f1: 0.569908751588321	average_val_loss: 3.0924243379283594	average_train_loss: 3.1642080679845384	
accuracy: 0.5784334536191892	precision: 0.5874614975884845	recall: 0.5784334536191892	f1: 0.5721288996481892	average_val_loss: 3.117549432290567	average_train_loss: 3.0857960565861324	
accuracy: 0.57121630227128	precision: 0.5823713926561622	recall: 0.57121630227128	f1: 0.5650180307728592	average_val_loss: 3.1185750606897713	average_train_loss: 3.101285678342825	
accuracy: 0.5754616854171088	precision: 0.5885080042894116	recall: 0.5754616854171088	f1: 0.5697384188229089	average_val_loss: 3.115829791571643	average_train_loss: 3.071313402773011	
accuracy: 0.5763107620462746	precision: 0.5875442955648791	recall: 0.5763107620462746	f1: 0.5701329933527007	average_val_loss: 3.0999295469876884	average_train_loss: 3.176180043277118	
accuracy: 0.575037147102526	precision: 0.5878791872804202	recall: 0.575037147102526	f1: 0.5688928744971802	average_val_loss: 3.119557498274623	average_train_loss: 3.086087054951608	
accuracy: 0.5782211844618977	precision: 0.5902696184270787	recall: 0.5782211844618977	f1: 0.5729596891448496	average_val_loss: 3.0958679398974858	average_train_loss: 3.085521051013505	
accuracy: 0.5767353003608575	precision: 0.5859468521810143	recall: 0.5767353003608575	f1: 0.5702463331950476	average_val_loss: 3.113931857250832	average_train_loss: 3.082482521187304	
accuracy: 0.5775843769900233	precision: 0.5873311364378945	recall: 0.5775843769900233	f1: 0.5716845477311412	average_val_loss: 3.0984604632532275	average_train_loss: 3.083368599237957	
accuracy: 0.5801316068775207	precision: 0.5895293202649633	recall: 0.5801316068775207	f1: 0.5738403636492164	average_val_loss: 3.086706298428613	average_train_loss: 3.0718917938651247	
accuracy: 0.576947569518149	precision: 0.5894680254681762	recall: 0.576947569518149	f1: 0.5716731488484306	average_val_loss: 3.114629677824072	average_train_loss: 3.124972456286852	
accuracy: 0.5801316068775207	precision: 0.5899806015107961	recall: 0.5801316068775207	f1: 0.5737146420394017	average_val_loss: 3.0866687394477226	average_train_loss: 3.107896693028753	
accuracy: 0.5799193377202293	precision: 0.5905641273141002	recall: 0.5799193377202293	f1: 0.5738945833299691	average_val_loss: 3.1022013409717664	average_train_loss: 3.1362122930475795	
accuracy: 0.5786457227764806	precision: 0.5898647095813228	recall: 0.5786457227764806	f1: 0.5726029965834291	average_val_loss: 3.0958436131477356	average_train_loss: 3.140338993921478	
